Row,Col,Strain,Dose
1,1,133.1,0
2,1,411.1,0
3,1,133.1,0
4,1,411.1,0
5,1,225.3,120
6,1,0,0
7,1,225.3,120
8,1,0,0
1,2,204.1,0
2,2,171.1,0
3,2,204.1,0
4,2,171.1,0
5,2,225.1,120
6,2,0,0
7,2,225.1,120
8,2,0,0
1,3,204.3,0
2,3,171.2,0
3,3,204.3,0
4,3,171.2,0
5,3,225.2,120
6,3,0,0
7,3,225.2,120
8,3,0,0
1,4,204.2,0
2,4,411.3,0
3,4,204.2,0
4,4,411.3,0
5,4,224.2,120
6,4,0,0
7,4,224.2,120
8,4,0,0
1,5,133.2,0
2,5,411.2,0
3,5,133.2,0
4,5,411.2,0
5,5,171.3,120
6,5,0,0
7,5,171.3,120
8,5,0,0
1,6,133.3,0
2,6,224.1,0
3,6,133.3,0
4,6,224.1,0
5,6,224.3,120
6,6,0,0
7,6,224.3,120
8,6,0,0
1,7,225.3,0
2,7,0,0
3,7,225.3,0
4,7,0,0
5,7,411.1,120
6,7,0,0
7,7,411.1,120
8,7,0,0
1,8,225.1,0
2,8,0,0
3,8,225.1,0
4,8,0,0
5,8,171.1,120
6,8,0,0
7,8,171.1,120
8,8,0,0
1,9,225.2,0
2,9,0,0
3,9,225.2,0
4,9,0,0
5,9,171.2,120
6,9,0,0
7,9,171.2,120
8,9,0,0
1,10,224.2,0
2,10,0,0
3,10,224.2,0
4,10,0,0
5,10,411.3,120
6,10,0,0
7,10,411.3,120
8,10,0,0
1,11,171.3,0
2,11,0,0
3,11,171.3,0
4,11,0,0
5,11,411.2,120
6,11,0,0
7,11,411.2,120
8,11,0,0
1,12,224.3,0
2,12,0,0
3,12,224.3,0
4,12,0,0
5,12,224.1,120
6,12,0,0
7,12,224.1,120
8,12,0,0
